"Handle","Title","Body (HTML)","Vendor","Standard Product Type","Custom Product Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"svitshot-oversayz-teplyy","Світшот оверсайз (теплий)","Є речі, які гріють. А є ті, які ще й світяться.

Малиновий oversize світшот від BRIGHT LOOK — це тепло з характером. Яскравий, живий, але не кричущий.

Всередині — ніжний утеплений начіс.
М'який, як обійми. Теплий, як улюблений плед.

BRIGHT LOOK — коли тепло має колір.","BRIGHT LOOK","Світшот","","BRIGHT LOOK, Світшот, Oversize, Утеплений","TRUE","Колір","Малина","","","","","","0","shopify","100","deny","manual","1600","","TRUE","TRUE","","","","","FALSE","","g","","","active"
"svitshot-oversayz-teplyy","","","BRIGHT LOOK","","","","","Колір","Чорний","","","","","","0","shopify","100","deny","manual","1600","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7457.jpg?v=1774539822","1","Теплий світшот чорний 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7457.jpg?v=1774539822","g","","","active"
"svitshot-oversayz-teplyy","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7453.jpg?v=1774539822","2","Теплий світшот чорний 2","FALSE","","","","","active"
"svitshot-oversayz-teplyy","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7459.jpg?v=1774539822","3","Теплий світшот чорний 3","FALSE","","","","","active"
"svitshot-oversayz-teplyy","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7454.jpg?v=1774539822","4","Теплий світшот чорний 4","FALSE","","","","","active"
"khudi-oversayz","Худі оверсайз","Чорне oversize худі від BRIGHT LOOK — це про комфорт, який відчувається одразу. Про тепло, яке не тільки фізичне. І про стиль, який не потребує пояснень.

Всередині — м'який утеплений начіс.
Ніжний до тіла, теплий до душі.

Щільна тканина тримає форму і виглядає дорого.
Не витягується, не втрачає глибину кольору.

Глибокий капюшон — окрема любов.
Він м'яко закриває від вітру, додає відчуття захищеності.

BRIGHT LOOK — тепло, яке завжди з тобою.","BRIGHT LOOK","Худі","","BRIGHT LOOK, Худі, Oversize","TRUE","Колір","Червоне","","","","","","0","shopify","100","deny","manual","2100","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7487.jpg?v=1774540846","1","Худі червоне 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7487.jpg?v=1774540846","g","","","active"
"khudi-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7488.jpg?v=1774540846","2","Худі червоне 2","FALSE","","","","","active"
"khudi-oversayz","","","BRIGHT LOOK","","","","","Колір","Чорне","","","","","","0","shopify","100","deny","manual","2100","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7464.jpg?v=1774540847","3","Худі чорне 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7464.jpg?v=1774540847","g","","","active"
"khudi-oversayz","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7466.jpg?v=1774540846","4","Худі чорне 2","FALSE","","","","","active"
"khudi-oversayz","","","BRIGHT LOOK","","","","","Колір","Малинове","","","","","","0","shopify","100","deny","manual","2100","","TRUE","TRUE","","","","","FALSE","","g","","","active"
"shoper-vyyobuyus","Шопер ""Вийобуюсь""","🖤 Вийди за рамки звичного з нашим шопером ""Вийобуюсь""! 🖤

Цей чорний шопер із бавовни створений для тих, хто не боїться виражати себе. Зручний широкий розмір та міцна застібка дозволяють носити все, що потрібно, без обмежень. Всередині — кишенька для важливих дрібниць.

Напис «Вийобуюсь» — це більше ніж слова, це твій стиль, твоя сміливість і твоє бажання бути собою.

Цей шопер не просто аксесуар, він — твій меседж світу. ✨","BRIGHT LOOK","Шопер","","BRIGHT LOOK, Шопер","TRUE","","","","","","","","0","shopify","100","deny","manual","500","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/1D40D3F2-5935-4B6E-8957-D7651FE3A4E6.jpg?v=1774540960","1","Шопер ""Вийобуюсь""","FALSE","","g","","","active"
"shoper-bright-mama","Шопер ""BRIGHT MAMA""","💖 Стиль і гордість для сучасної мами — шопер BRIGHT MAMA! 💖

Цей чорний шопер із бавовни створений для мам, які хочуть виглядати стильно та відчувати комфорт щодня. Зручний широкий розмір та міцна застібка.

✨ BRIGHT MAMA — коли стиль і самовираження йдуть поруч. ✨","BRIGHT LOOK","Шопер","","BRIGHT LOOK, Шопер","TRUE","","","","","","","","0","shopify","100","deny","manual","500","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/1D40D3F2-5935-4B6E-8957-D7651FE3A4E6.jpg?v=1774540960","1","Шопер ""BRIGHT MAMA""","FALSE","","g","","","active"
"shoper-zanadto-klasna-dlya-tvoyikh-pravyl","Шопер ""Занадто класна для твоїх правил""","✨ Шопер для тих, хто задає свої правила! ✨

Цей чорний шопер із бавовни — для тих, хто не боїться виділятися.

💥 Носи з гордістю і будь собою кожного дня!","BRIGHT LOOK","Шопер","","BRIGHT LOOK, Шопер","TRUE","","","","","","","","0","shopify","100","deny","manual","500","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/1D40D3F2-5935-4B6E-8957-D7651FE3A4E6.jpg?v=1774540960","1","Шопер ""Занадто класна для твоїх правил""","FALSE","","g","","","active"
"shoper-kreatyv-ponad-use","Шопер ""Креатив понад усе""","Відчуй свободу та стиль у кожній деталі з нашим шопером BRIGHT LOOK! 🖤

Широкий, на зручній застібці, він ідеально вміщує все необхідне.

Ідеальний для міста, навчання або прогулянки. ✨","BRIGHT LOOK","Шопер","","BRIGHT LOOK, Шопер","TRUE","","","","","","","","0","shopify","100","deny","manual","500","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/1D40D3F2-5935-4B6E-8957-D7651FE3A4E6.jpg?v=1774540960","1","Шопер ""Креатив понад усе""","FALSE","","g","","","active"
"shoper-vytvoryayu-a-ne-chekayu","Шопер ""Витворяю, а не чекаю""","🎨 Шопер для тих, хто творить своє життя! 🎨

Цей чорний шопер із бавовни створений для людей, які не бояться діяти і самовиражатися.

✨ Не чекай — твори, будь собою і вражай світ! ✨","BRIGHT LOOK","Шопер","","BRIGHT LOOK, Шопер","TRUE","","","","","","","","0","shopify","100","deny","manual","500","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/1D40D3F2-5935-4B6E-8957-D7651FE3A4E6.jpg?v=1774540960","1","Шопер ""Витворяю, а не чекаю""","FALSE","","g","","","active"
"shoper-ne-chipay-ya-v-protsesi-henialnosti","Шопер ""Не чіпай, я в процесі геніальності""","✨ Шопер для справжніх креативників! ✨

Цей чорний шопер із бавовни створений для тих, хто живе своїми ідеями і не боїться виділятися.

💥 Відчуй свободу самовираження щодня! 💥","BRIGHT LOOK","Шопер","","BRIGHT LOOK, Шопер","TRUE","","","","","","","","0","shopify","100","deny","manual","500","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/1D40D3F2-5935-4B6E-8957-D7651FE3A4E6.jpg?v=1774540960","1","Шопер ""Не чіпай, я в процесі геніальності""","FALSE","","g","","","active"
"nosky-bright-look","Носки BRIGHT LOOK","Високі чорні носки від BRIGHT LOOK — це більше ніж аксесуар, це твоя впевненість у кожному кроці! 🖤💖

Рожеві написи «керую світом», «завжди яскрава», «завжди унікальна», «бо я так рішила» додають настрою та сміливості щодня.

Носки не кошлатяться, не парять і відчутно приємні на шкірі. ✨","BRIGHT LOOK","Носки","","BRIGHT LOOK, Носки","TRUE","","","","","","","","0","shopify","100","deny","manual","80","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7243_1.png?v=1774539553","1","Носки BRIGHT LOOK 1","FALSE","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7243_1.png?v=1774539553","g","","","active"
"nosky-bright-look","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7216_1.png?v=1774539553","2","Носки BRIGHT LOOK 2","FALSE","","","","","active"
"nosky-bright-look","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7247_1.png?v=1774539552","3","Носки BRIGHT LOOK 3","FALSE","","","","","active"
"nosky-bright-look","","","BRIGHT LOOK","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0767/0815/1396/files/IMG_7235_1.png?v=1774539550","4","Носки BRIGHT LOOK 4","FALSE","","","","","active"
